Gene stable ID,Gene name
ENSRNOG00000017211,Olr152
ENSRNOG00000007636,Cadps2
ENSRNOG00000032890,LOC100912321
ENSRNOG00000025982,Taar3
ENSRNOG00000055661,AABR07065420.1
ENSRNOG00000061876,Tas1r2
ENSRNOG00000033673,AABR07061532.1
ENSRNOG00000050047,LOC100359907
ENSRNOG00000019657,Mk1
ENSRNOG00000058176,AABR07015320.1
ENSRNOG00000060369,AABR07015687.1
ENSRNOG00000026702,Jaml
ENSRNOG00000058906,Ptprh
ENSRNOG00000037285,LOC102550160
ENSRNOG00000058028,U6
ENSRNOG00000019843,St3gal3
ENSRNOG00000002871,Rbm25l1
ENSRNOG00000043295,RGD1565033
ENSRNOG00000054622,U6
ENSRNOG00000060949,Anxa8
ENSRNOG00000033226,AABR07043557.1
ENSRNOG00000015402,Guca1a
ENSRNOG00000058770,AABR07013007.1
ENSRNOG00000015215,Cript
ENSRNOG00000018524,Ezr
ENSRNOG00000054319,LOC103690128
ENSRNOG00000052683,U6
ENSRNOG00000048807,Vom1r81
ENSRNOG00000058706,U1
ENSRNOG00000007886,Orm1
ENSRNOG00000027728,Ibtk
ENSRNOG00000017606,P2rx1
ENSRNOG00000002641,Vom2r28
ENSRNOG00000010468,Elovl6
ENSRNOG00000055232,U6
ENSRNOG00000046338,LOC100909824
ENSRNOG00000010749,Olfr286
ENSRNOG00000036504,AABR07064349.2
ENSRNOG00000055511,SNORA70
ENSRNOG00000049607,LOC100911101
ENSRNOG00000003645,Hnrnpab
ENSRNOG00000013503,Cdh24
ENSRNOG00000049102,Olr1710
ENSRNOG00000060158,SNORD116
ENSRNOG00000003086,Cenpv
ENSRNOG00000061682,AABR07071886.1
ENSRNOG00000042462,Rnf148
ENSRNOG00000061858,AC133981.1
ENSRNOG00000042222,RGD1563562
ENSRNOG00000060113,7SK
ENSRNOG00000016837,Ckm
ENSRNOG00000014945,Kpna3
ENSRNOG00000002271,Slain2
ENSRNOG00000002393,Eprs
ENSRNOG00000054526,U6
ENSRNOG00000015598,Zfp772
ENSRNOG00000035587,Mir3575
ENSRNOG00000007839,Slc16a7
ENSRNOG00000049661,Inafm1
ENSRNOG00000036318,AC119336.1
ENSRNOG00000010584,Tmem123
ENSRNOG00000001396,Mospd3
ENSRNOG00000008005,Akna
ENSRNOG00000044615,Mir1949
ENSRNOG00000031916,Timeless
ENSRNOG00000055722,SNORD42
ENSRNOG00000050040,Akr1c13
ENSRNOG00000017374,Prl
ENSRNOG00000028896,A2m
ENSRNOG00000055095,AABR07029636.1
ENSRNOG00000029844,Akr1c2
ENSRNOG00000057534,AABR07030739.1
ENSRNOG00000056589,AABR07030911.2
ENSRNOG00000055139,AABR07032582.1
ENSRNOG00000057279,AABR07006566.1
ENSRNOG00000055132,7SK
ENSRNOG00000023937,Slc49a3
ENSRNOG00000052291,AC096330.1
ENSRNOG00000019265,Pcdh12
ENSRNOG00000013317,RGD1565222
ENSRNOG00000052809,AC111231.2
ENSRNOG00000030326,Olr344
ENSRNOG00000054690,Metazoa_SRP
ENSRNOG00000060418,AABR07058011.1
ENSRNOG00000051454,AABR07043642.1
ENSRNOG00000058509,AABR07040444.1
ENSRNOG00000035506,Mir326
ENSRNOG00000037160,Bloc1s6
ENSRNOG00000052946,LOC103694568
ENSRNOG00000008644,Nkx2-1
ENSRNOG00000034612,5S_rRNA
ENSRNOG00000049770,Cryba4
ENSRNOG00000050486,AABR07006619.1
ENSRNOG00000014644,Zic1
ENSRNOG00000011124,AABR07067267.1
ENSRNOG00000015869,Pccb
ENSRNOG00000047839,RGD1561699
ENSRNOG00000028108,Cytl1
ENSRNOG00000055595,U4
ENSRNOG00000011852,Myo6
ENSRNOG00000004298,Dpys
ENSRNOG00000048930,Olr221
ENSRNOG00000047830,AABR07036487.1
ENSRNOG00000053640,Kcng2
ENSRNOG00000054181,LOC100361547
ENSRNOG00000061027,AABR07049862.2
ENSRNOG00000005479,Slc1a2
ENSRNOG00000054446,Sltm
ENSRNOG00000044047,5S_rRNA
ENSRNOG00000007604,Igsf8
ENSRNOG00000057976,U6
ENSRNOG00000007292,Spdl1
ENSRNOG00000008806,Clip4
ENSRNOG00000034083,Olr67
ENSRNOG00000030364,AABR07031666.1
ENSRNOG00000015511,Atic
ENSRNOG00000053890,AC134158.1
ENSRNOG00000003435,Mcf2
ENSRNOG00000003594,Tmem183a
ENSRNOG00000039025,AABR07051947.1
ENSRNOG00000015845,Niban2
ENSRNOG00000053466,AABR07026576.1
ENSRNOG00000052970,7SK
ENSRNOG00000001255,Mlxip
ENSRNOG00000038275,Adam4
ENSRNOG00000060760,SNORD22
ENSRNOG00000001199,Pop5
ENSRNOG00000004698,Cd244
ENSRNOG00000053453,AC240958.1
ENSRNOG00000010522,Tlr4
ENSRNOG00000057535,U6
ENSRNOG00000058994,Vom1r87
ENSRNOG00000031079,AABR07066516.1
ENSRNOG00000008711,Med24
ENSRNOG00000056555,AABR07054983.1
ENSRNOG00000061123,AABR07012754.1
ENSRNOG00000015109,Ubxn8
ENSRNOG00000025157,AABR07008904.1
ENSRNOG00000013934,Dennd2b
ENSRNOG00000010617,Scube1
ENSRNOG00000052662,U6
ENSRNOG00000031135,Smarcc2
ENSRNOG00000001304,Bcr
ENSRNOG00000002223,AABR07012587.1
ENSRNOG00000053757,Gm24451
ENSRNOG00000043422,LOC100359777
ENSRNOG00000013260,Calr3
ENSRNOG00000053046,7SK
ENSRNOG00000009381,Mapk6
ENSRNOG00000001336,Orai1
ENSRNOG00000000614,Bicc1
ENSRNOG00000014619,Dhx38
ENSRNOG00000033020,Vegp2
ENSRNOG00000035574,Mir411
ENSRNOG00000008307,Nanp
ENSRNOG00000048419,AABR07028492.8
ENSRNOG00000037480,Ddx51
ENSRNOG00000019942,Fbxo17
ENSRNOG00000059344,Tpcn1
ENSRNOG00000056277,Adam34l
ENSRNOG00000054872,AC123144.4
ENSRNOG00000011203,Farp1
ENSRNOG00000046377,Btnl9
ENSRNOG00000016446,Gpr45
ENSRNOG00000005996,Lhx6
ENSRNOG00000060051,AABR07049038.2
ENSRNOG00000056182,7SK
ENSRNOG00000018566,Ctsl
ENSRNOG00000032375,Capn13
ENSRNOG00000053779,U6
ENSRNOG00000024429,Peg12
ENSRNOG00000037600,Sim1
ENSRNOG00000048824,Rnf165
ENSRNOG00000053500,AABR07046970.1
ENSRNOG00000051698,AC098622.2
ENSRNOG00000000121,Pigv
ENSRNOG00000047541,AABR07051715.1
ENSRNOG00000031848,AABR07065651.1
ENSRNOG00000046226,AABR07003500.2
ENSRNOG00000011448,Eri1
ENSRNOG00000060800,7SK
ENSRNOG00000031378,AABR07009715.1
ENSRNOG00000046851,Tmem121b
ENSRNOG00000058077,AABR07001068.1
ENSRNOG00000054081,Snord12
ENSRNOG00000016800,Ss18
ENSRNOG00000055476,AABR07017868.3
ENSRNOG00000039466,Hyal5
ENSRNOG00000047045,LOC108348111
ENSRNOG00000010178,Cgrrf1
ENSRNOG00000043616,AABR07062395.1
ENSRNOG00000009503,Depdc1
ENSRNOG00000013369,Gbx1
ENSRNOG00000056587,AABR07051808.1
ENSRNOG00000057144,AABR07021625.1
ENSRNOG00000006514,Vezt
ENSRNOG00000056996,Cfap65
ENSRNOG00000051845,7SK
ENSRNOG00000003714,Clk4
ENSRNOG00000038481,AC126482.1
ENSRNOG00000004612,Ppp1cb
ENSRNOG00000061155,LOC100911851
ENSRNOG00000056382,Snora9
ENSRNOG00000050485,Gas1
ENSRNOG00000052279,LOC103692169
ENSRNOG00000053144,AABR07052559.1
ENSRNOG00000053734,7SK
ENSRNOG00000059761,AABR07007798.1
ENSRNOG00000016648,Gulo
ENSRNOG00000013721,Nepro
ENSRNOG00000049377,AABR07052247.1
ENSRNOG00000056920,U1
ENSRNOG00000055537,AABR07065814.6
ENSRNOG00000003800,Rgs9
ENSRNOG00000049710,Vom1r34
ENSRNOG00000012497,Olr1626
ENSRNOG00000002125,Ccni
ENSRNOG00000042193,AABR07034729.1
ENSRNOG00000059666,LOC100911733
ENSRNOG00000035572,Mir125a
ENSRNOG00000059724,AABR07043028.1
ENSRNOG00000024040,Mb21d2
ENSRNOG00000059648,AABR07064132.1
ENSRNOG00000059298,U6
ENSRNOG00000001030,Tsc22d1
ENSRNOG00000005615,Gadd45a
ENSRNOG00000058644,AABR07043030.2
ENSRNOG00000006619,Dnajc9
ENSRNOG00000033813,Olr180
ENSRNOG00000059901,Olr1225
ENSRNOG00000007782,Ghrh
ENSRNOG00000061686,SNORA70
ENSRNOG00000058872,U4
ENSRNOG00000054330,AABR07049048.1
ENSRNOG00000012638,Ciao1
ENSRNOG00000051669,AABR07040855.1
ENSRNOG00000058951,AABR07042407.1
ENSRNOG00000051885,LOC100360413
ENSRNOG00000051469,AABR07028874.1
ENSRNOG00000051877,U6
ENSRNOG00000053008,7SK
ENSRNOG00000029456,Rp9
ENSRNOG00000009049,Usp11
ENSRNOG00000020807,NEWGENE_1306714
ENSRNOG00000058871,AABR07071299.1
ENSRNOG00000003929,Pcdh19
ENSRNOG00000054897,7SK
ENSRNOG00000048799,AABR07004263.1
ENSRNOG00000061510,Pom121l2
ENSRNOG00000007625,B3galt1
ENSRNOG00000060064,U6
ENSRNOG00000054337,7SK
ENSRNOG00000007968,RGD1305350
ENSRNOG00000017919,Nup133
ENSRNOG00000043088,Ceacam19
ENSRNOG00000059492,LOC100365363
ENSRNOG00000003580,Ucp1
ENSRNOG00000061493,Gm23705
ENSRNOG00000010126,Riox1
ENSRNOG00000059085,U6
ENSRNOG00000018494,Ppp1r3c
ENSRNOG00000045622,Spaca5
ENSRNOG00000033195,A1cf
ENSRNOG00000018003,F2rl1
ENSRNOG00000060839,LOC690348
ENSRNOG00000038973,Acd
ENSRNOG00000052889,U6
ENSRNOG00000045552,AC123316.2
ENSRNOG00000048037,Olr1307
ENSRNOG00000008639,Pabpc1
ENSRNOG00000021437,AABR07073181.1
ENSRNOG00000030645,AABR07041247.1
ENSRNOG00000057220,AABR07060792.3
ENSRNOG00000059941,5S_rRNA
ENSRNOG00000030698,Cyp26c1
ENSRNOG00000052744,U3
ENSRNOG00000019859,Pla2g15
ENSRNOG00000056865,AABR07060632.1
ENSRNOG00000059668,5_8S_rRNA
ENSRNOG00000050726,AABR07015582.2
ENSRNOG00000021681,Eea1
ENSRNOG00000001821,Adipoq
ENSRNOG00000028670,RGD1562726
ENSRNOG00000059707,AABR07072499.1
ENSRNOG00000053998,AABR07038894.1
ENSRNOG00000053468,Tuba1b
ENSRNOG00000056968,AC130862.2
ENSRNOG00000045690,Olr404
ENSRNOG00000021823,AABR07018318.1
ENSRNOG00000060432,AABR07016545.1
ENSRNOG00000001378,Iqcd
ENSRNOG00000055151,SNORD34
ENSRNOG00000016636,Lpin3
ENSRNOG00000059014,LOC108349660
ENSRNOG00000047780,AABR07046635.1
ENSRNOG00000018427,Lhx3
ENSRNOG00000007348,Olr1087
ENSRNOG00000052686,AABR07031703.1
ENSRNOG00000059687,AABR07026241.1
ENSRNOG00000001588,Hoxd13
ENSRNOG00000001951,Csn3
ENSRNOG00000055977,AABR07017140.1
ENSRNOG00000058481,U7
ENSRNOG00000060336,AABR07036084.1
ENSRNOG00000008656,Snca
ENSRNOG00000014064,Ctsh
ENSRNOG00000054638,AABR07038957.1
ENSRNOG00000026649,Dnmt3a
ENSRNOG00000054547,AABR07070532.1
ENSRNOG00000036514,Mir615
ENSRNOG00000016250,Ammecr1l
ENSRNOG00000046535,Ppm1m
ENSRNOG00000011586,LOC100909712
ENSRNOG00000039624,AABR07024732.1
ENSRNOG00000059627,AC109837.2
ENSRNOG00000048867,AABR07016310.1
ENSRNOG00000019190,Ankrd22
ENSRNOG00000009808,Ift80
ENSRNOG00000011241,Tfdp2
ENSRNOG00000015408,Vil1
ENSRNOG00000055720,AABR07063090.1
ENSRNOG00000056884,Olr386
ENSRNOG00000005054,Prox2
ENSRNOG00000061451,7SK
ENSRNOG00000001397,Rbm19
ENSRNOG00000048434,Olr1565
ENSRNOG00000003979,Zranb3
ENSRNOG00000050874,LOC102552549
ENSRNOG00000013748,Trem3
ENSRNOG00000032635,LOC100360117
ENSRNOG00000026085,Rabl3
ENSRNOG00000058977,AC109877.1
ENSRNOG00000060027,LOC100910409
ENSRNOG00000053507,AABR07001455.1
ENSRNOG00000053469,AABR07030861.1
ENSRNOG00000012708,Ptchd4
ENSRNOG00000060880,AABR07064755.1
ENSRNOG00000018297,Ocln
ENSRNOG00000053275,AABR07060995.1
ENSRNOG00000010698,Car1
ENSRNOG00000018761,Eif3c
ENSRNOG00000054353,AABR07008341.1
ENSRNOG00000017282,Tesk2
ENSRNOG00000054594,AC098022.2
ENSRNOG00000013673,Msh3
ENSRNOG00000001124,Rnft2
ENSRNOG00000054543,AC129004.1
ENSRNOG00000007509,Slc1a6
ENSRNOG00000057536,AABR07056415.1
ENSRNOG00000056021,Slc14a2
ENSRNOG00000008688,Usp45
ENSRNOG00000054119,LOC102555655
ENSRNOG00000033653,Mpp3
ENSRNOG00000033058,AABR07064810.1
ENSRNOG00000001825,AABR07034767.1
ENSRNOG00000046927,AC097575.1
ENSRNOG00000059063,AABR07010585.1
ENSRNOG00000005016,Tmed4
ENSRNOG00000050941,Olr1587
ENSRNOG00000057426,AABR07059869.1
ENSRNOG00000005700,Nsg1
ENSRNOG00000012237,Rdx
ENSRNOG00000013602,Usp48
ENSRNOG00000056951,AABR07013140.1
ENSRNOG00000020936,Nradd
ENSRNOG00000039761,AC129054.1
ENSRNOG00000060722,AABR07013764.2
ENSRNOG00000003486,Mnda
ENSRNOG00000023805,AABR07042789.1
ENSRNOG00000060958,AABR07070887.1
ENSRNOG00000059402,Itgb1bp1
ENSRNOG00000018715,Clec10a
ENSRNOG00000016700,Tcf21
ENSRNOG00000024053,AC141028.1
ENSRNOG00000033970,Moap1
ENSRNOG00000007788,Glod4
ENSRNOG00000056847,Gsta3
ENSRNOG00000057556,Pdzrn3
ENSRNOG00000047024,AC242927.1
ENSRNOG00000003562,Susd4
ENSRNOG00000005619,Misp3
ENSRNOG00000031127,Snrpe
ENSRNOG00000056398,AABR07036855.1
ENSRNOG00000033874,AABR07059632.1
ENSRNOG00000001739,Meltf
ENSRNOG00000055293,Ptprb
ENSRNOG00000020478,Camk4
ENSRNOG00000010746,Rpl32
ENSRNOG00000055454,Arl13a
ENSRNOG00000011552,Mon1b
ENSRNOG00000008011,Agbl4
ENSRNOG00000008870,Atf7ip
ENSRNOG00000048535,AABR07044977.1
ENSRNOG00000031588,AC112531.1
ENSRNOG00000047155,Olr883
ENSRNOG00000013615,Dntt
ENSRNOG00000015026,Arhgef11
ENSRNOG00000006575,Ccdc96
ENSRNOG00000059593,Cetn2
ENSRNOG00000007937,Krit1
ENSRNOG00000025353,Ears2
ENSRNOG00000014595,Brf1
ENSRNOG00000000574,AC096404.1
ENSRNOG00000001443,Rhbdd2
ENSRNOG00000013526,Rassf4
ENSRNOG00000021062,Fxyd5
ENSRNOG00000032290,Olr1059
ENSRNOG00000027739,Cndp1
ENSRNOG00000047084,Olr782
ENSRNOG00000046236,AABR07019512.1
ENSRNOG00000009772,Kirrel3
ENSRNOG00000013932,Rbp2
ENSRNOG00000022488,Izumo3
ENSRNOG00000025892,Set
ENSRNOG00000006238,Traf2
ENSRNOG00000014543,Tbc1d2b
ENSRNOG00000009845,Acadm
ENSRNOG00000027798,AABR07064992.1
ENSRNOG00000013321,Dock11
ENSRNOG00000018574,Qsox2
ENSRNOG00000003455,Zfp13
ENSRNOG00000014361,Edn1
ENSRNOG00000047080,Gng4
ENSRNOG00000021087,Lgi4
ENSRNOG00000049593,Wbp11l1
ENSRNOG00000052289,Ptdss1
ENSRNOG00000006599,AABR07064983.2
ENSRNOG00000049477,LOC681470
ENSRNOG00000002643,Ugdh
ENSRNOG00000060274,AABR07028768.1
ENSRNOG00000060492,LOC103690190
ENSRNOG00000017510,Mfge8
ENSRNOG00000011923,Mgarp
ENSRNOG00000000231,Kctd17
ENSRNOG00000033087,Cdh23
ENSRNOG00000006060,Matn2
ENSRNOG00000004755,Commd9
ENSRNOG00000016356,Got1
ENSRNOG00000034090,AABR07007092.1
ENSRNOG00000030391,Ei24
ENSRNOG00000010412,Ccdc180
ENSRNOG00000014204,Pacsin3
ENSRNOG00000048395,Olr1515
ENSRNOG00000000715,Pou1f1
ENSRNOG00000029083,AC106932.1
ENSRNOG00000060538,Cdc42se1
ENSRNOG00000009935,Xpo1
ENSRNOG00000050263,AABR07012426.1
ENSRNOG00000011130,Calca
ENSRNOG00000006792,Cep57
ENSRNOG00000026650,Tmprss4
ENSRNOG00000001885,Trmt2a
ENSRNOG00000042044,Stard3
ENSRNOG00000008113,RGD1561149
ENSRNOG00000020860,Tdrkh
ENSRNOG00000053820,Zcwpw2
ENSRNOG00000060070,AC106947.2
ENSRNOG00000061443,AABR07010460.1
ENSRNOG00000055583,Ttyh3
ENSRNOG00000030880,Hs6st2
ENSRNOG00000008423,Gpr22
ENSRNOG00000021298,Dstyk
ENSRNOG00000051706,Tep1
ENSRNOG00000032378,Atp1a4
ENSRNOG00000043392,Olr135
ENSRNOG00000020720,Fbxw12
ENSRNOG00000045757,Obp1f
ENSRNOG00000046889,Dbi
ENSRNOG00000024917,Flacc1
ENSRNOG00000059215,Slc66a2
ENSRNOG00000042265,LOC689968
ENSRNOG00000014102,Wdr38
ENSRNOG00000017849,Apbb3
ENSRNOG00000056412,U6
ENSRNOG00000000138,Glis1
ENSRNOG00000010615,AABR07007690.1
ENSRNOG00000005762,Rab22a
ENSRNOG00000013760,Wfdc5
ENSRNOG00000008987,Rnf139
ENSRNOG00000051903,U7
ENSRNOG00000003050,Tbc1d9b
ENSRNOG00000002169,Pdcl2
ENSRNOG00000008478,Mmp13
ENSRNOG00000008334,Crocc
ENSRNOG00000013841,Dcaf1
ENSRNOG00000047474,LOC100912540
ENSRNOG00000052648,U6
ENSRNOG00000037736,AABR07040565.1
ENSRNOG00000061093,U5
ENSRNOG00000011294,Usp33
ENSRNOG00000052950,AC108974.2
ENSRNOG00000008524,Glcci1
ENSRNOG00000016269,Rpl7l1
ENSRNOG00000048558,AABR07046765.1
ENSRNOG00000056675,LOC100911507
ENSRNOG00000052045,AABR07068625.1
ENSRNOG00000005954,Il5ra
ENSRNOG00000060639,U6
ENSRNOG00000009739,Washc5
ENSRNOG00000023528,Plaat5
ENSRNOG00000046458,Pdx1
ENSRNOG00000053738,U6
ENSRNOG00000007172,Map4k3
ENSRNOG00000057670,Vom1r57
ENSRNOG00000036491,Mir543
ENSRNOG00000056157,SNORD116
ENSRNOG00000038055,Slc47a2
ENSRNOG00000059161,AABR07065190.2
ENSRNOG00000023520,Cs
ENSRNOG00000054259,Klf11
ENSRNOG00000026065,Slit1
ENSRNOG00000041749,AABR07007690.2
ENSRNOG00000053938,SNORD115
ENSRNOG00000049668,Vom1r58
ENSRNOG00000031950,Izumo4
ENSRNOG00000013121,Mier3
ENSRNOG00000044438,5S_rRNA
ENSRNOG00000055540,U6
ENSRNOG00000033703,LOC689713
ENSRNOG00000026163,Cpt1c
ENSRNOG00000019861,Tollip
ENSRNOG00000058743,AABR07039342.2
ENSRNOG00000002212,Hsd17b13
ENSRNOG00000055118,Gm25820
ENSRNOG00000058196,AABR07064227.1
ENSRNOG00000016442,Hoxc6
ENSRNOG00000012185,Zfyve21
ENSRNOG00000060960,U4
ENSRNOG00000050903,AABR07030200.1
ENSRNOG00000010993,Dpm1
ENSRNOG00000059756,AABR07029023.1
ENSRNOG00000060740,AC122630.1
ENSRNOG00000054310,AC119635.1
ENSRNOG00000051738,AABR07070314.1
ENSRNOG00000049077,Mir5125
ENSRNOG00000050615,AABR07043012.1
ENSRNOG00000045894,AABR07036972.1
ENSRNOG00000061061,AABR07063674.2
ENSRNOG00000046890,Abca6
ENSRNOG00000058995,SNORA74
ENSRNOG00000030641,Shisal2a
ENSRNOG00000049728,Olr714
ENSRNOG00000014617,Tgoln2
ENSRNOG00000049050,AABR07031756.2
ENSRNOG00000059359,AABR07001416.2
ENSRNOG00000009667,Mlst8
ENSRNOG00000043856,AABR07029172.1
ENSRNOG00000044284,5S_rRNA
ENSRNOG00000056795,U6
ENSRNOG00000008904,Fli1
ENSRNOG00000017509,Eed
ENSRNOG00000055539,AABR07052904.1
ENSRNOG00000043201,Coq8a
ENSRNOG00000029843,AABR07070957.1
ENSRNOG00000059446,AABR07049152.1
ENSRNOG00000002917,Sec14l5
ENSRNOG00000056372,AABR07060560.2
ENSRNOG00000018974,Ern2
ENSRNOG00000011829,Rpgrip1l
ENSRNOG00000054236,AABR07016573.1
ENSRNOG00000054156,AABR07001392.1
ENSRNOG00000014950,Crygc
ENSRNOG00000048094,AABR07054358.1
ENSRNOG00000059920,AC135285.3
ENSRNOG00000057931,AABR07018447.1
ENSRNOG00000060196,AABR07035926.2
ENSRNOG00000031638,Rtl4
ENSRNOG00000052942,AABR07062513.1
ENSRNOG00000027924,Fam83g
ENSRNOG00000050293,Olr1569
ENSRNOG00000051991,AABR07027347.1
ENSRNOG00000056712,AC142421.1
ENSRNOG00000058259,AABR07029260.1
ENSRNOG00000059711,AABR07019449.1
ENSRNOG00000030877,Htr2c
ENSRNOG00000053010,AABR07027693.1
ENSRNOG00000012611,Lpxn
ENSRNOG00000057788,AABR07028069.1
ENSRNOG00000056359,AABR07035722.1
ENSRNOG00000061105,AABR07044418.3
ENSRNOG00000033413,Olfr1320
ENSRNOG00000060351,AABR07070587.1
ENSRNOG00000017674,Ctcf
ENSRNOG00000043324,Upk2
ENSRNOG00000037891,AABR07065353.1
ENSRNOG00000031801,Ephb3
ENSRNOG00000001465,Ids
ENSRNOG00000045747,Capns1
ENSRNOG00000032805,Cyp2f4
ENSRNOG00000001415,Ap1s1
ENSRNOG00000053006,LOC103690255
ENSRNOG00000005472,Sp4
ENSRNOG00000002585,Cul4b
ENSRNOG00000034116,Gk
ENSRNOG00000048975,Trim42
ENSRNOG00000016629,Tut7
ENSRNOG00000057708,AABR07059875.4
ENSRNOG00000057918,Gm23903
ENSRNOG00000060808,AABR07060700.1
ENSRNOG00000054510,U6
ENSRNOG00000053333,U6
ENSRNOG00000054062,U6
ENSRNOG00000036784,AC118350.1
ENSRNOG00000020776,Dhcr7
ENSRNOG00000046202,Metrnl
ENSRNOG00000031997,Ttll7
ENSRNOG00000048779,AABR07054329.1
ENSRNOG00000056066,AABR07053681.3
ENSRNOG00000047911,Miip
ENSRNOG00000053921,AABR07056691.1
ENSRNOG00000053056,AABR07001358.1
ENSRNOG00000060659,U4
ENSRNOG00000056250,U6
ENSRNOG00000053193,U6
ENSRNOG00000043188,AABR07000261.1
ENSRNOG00000006595,Htr3a
ENSRNOG00000013541,Sh2d4a
ENSRNOG00000012679,Oard1
ENSRNOG00000054540,AABR07043775.1
ENSRNOG00000061209,AABR07063599.1
ENSRNOG00000061737,LOC100362319
ENSRNOG00000038771,AABR07064634.1
ENSRNOG00000036301,AC128792.1
ENSRNOG00000007249,Cdkn1b
ENSRNOG00000041942,5S_rRNA
ENSRNOG00000001767,RGD1562339
ENSRNOG00000036241,Mir215
ENSRNOG00000017557,LOC100362216
ENSRNOG00000019267,Dkk4
ENSRNOG00000016653,Ngef
ENSRNOG00000017297,Cab39
ENSRNOG00000020389,Capn12
ENSRNOG00000017494,Acp6
ENSRNOG00000060352,AABR07036024.2
ENSRNOG00000012454,Trmt10b
ENSRNOG00000060561,Gdpd1
ENSRNOG00000032926,Crygb
ENSRNOG00000022871,LOC691170
ENSRNOG00000053509,AABR07017716.1
ENSRNOG00000021478,Tpd52l1
ENSRNOG00000048433,Tshz2
ENSRNOG00000012960,Uap1l1
ENSRNOG00000025523,Armh3
ENSRNOG00000014522,Mlycd
ENSRNOG00000059776,Tnks2
ENSRNOG00000051851,U1
ENSRNOG00000061528,U2
ENSRNOG00000029131,AABR07024637.1
ENSRNOG00000004819,Porcn
ENSRNOG00000039990,MGC114246
ENSRNOG00000042667,AABR07049574.1
ENSRNOG00000001126,Fbxw8
ENSRNOG00000033065,Rad50
ENSRNOG00000001161,Gatc
ENSRNOG00000054092,AC097890.2
ENSRNOG00000021095,Fxyd3
ENSRNOG00000059049,AABR07043986.1
ENSRNOG00000004291,Cltc
ENSRNOG00000004888,Spred2
ENSRNOG00000011567,Rpusd4
ENSRNOG00000000905,Tex26
ENSRNOG00000029793,RGD1559995
ENSRNOG00000019613,Syt9
ENSRNOG00000034183,AABR07040266.1
ENSRNOG00000020699,Cd37
ENSRNOG00000021021,Ffar2
ENSRNOG00000000306,Smpd2
ENSRNOG00000055483,AABR07057436.2
ENSRNOG00000016182,Tgfa
ENSRNOG00000003094,Cmahp
ENSRNOG00000045905,Kdm4d
ENSRNOG00000024492,Ap1ar
ENSRNOG00000017095,LOC679881
ENSRNOG00000060309,U6
ENSRNOG00000061579,AABR07070810.1
ENSRNOG00000013195,Ruvbl1
ENSRNOG00000060799,AABR07035819.2
ENSRNOG00000013238,Tmem14a
ENSRNOG00000009974,Coq3
ENSRNOG00000000066,Fbxo28
ENSRNOG00000049572,Olr592
ENSRNOG00000053272,Chi3l1
ENSRNOG00000051951,AABR07034592.1
ENSRNOG00000052852,AABR07012752.1
ENSRNOG00000056348,AABR07069235.1
ENSRNOG00000061011,AABR07070801.1
ENSRNOG00000002342,Aldh3a2
ENSRNOG00000050136,AC096353.1
ENSRNOG00000053540,LOC103694562
ENSRNOG00000061710,AABR07071768.1
ENSRNOG00000056633,Olr733
ENSRNOG00000012702,Nfya
ENSRNOG00000030763,Dpp4
ENSRNOG00000045677,Nlrp6
ENSRNOG00000017852,Nars1
ENSRNOG00000022372,Kdm1a
ENSRNOG00000060349,Fam3c
ENSRNOG00000043436,Micu1
ENSRNOG00000004756,Syt2
ENSRNOG00000018492,Olr1652
ENSRNOG00000048698,AABR07048031.1
ENSRNOG00000054790,RGD1566337
ENSRNOG00000055564,RGD1564664
ENSRNOG00000006534,Crbn
ENSRNOG00000002812,Lhx1
ENSRNOG00000042026,AABR07026929.1
ENSRNOG00000008312,Stra6
ENSRNOG00000033679,AABR07041771.1
ENSRNOG00000020113,Cnnm2
ENSRNOG00000049038,LOC108348105
ENSRNOG00000030275,Olr84
ENSRNOG00000053047,Top2a
ENSRNOG00000003191,Bhlhb9
ENSRNOG00000021182,Sv2a
ENSRNOG00000042233,Rpl41
ENSRNOG00000034075,Ube2ql1
ENSRNOG00000010041,Ube2g1
ENSRNOG00000054042,N5
ENSRNOG00000013463,Kcnj8
ENSRNOG00000016058,Kazald1
ENSRNOG00000061236,Rsl1d1l1
ENSRNOG00000046971,Ccer2
ENSRNOG00000010945,Ywhab
ENSRNOG00000026128,Cpne8
ENSRNOG00000006649,Thrb
ENSRNOG00000032951,Jsrp1
ENSRNOG00000009729,Ubp1
ENSRNOG00000003081,Ribc1
ENSRNOG00000024635,Cramp1
ENSRNOG00000010388,Slc21a4
ENSRNOG00000001710,Abcf3
ENSRNOG00000054374,Smim29
ENSRNOG00000010963,RGD1563222
ENSRNOG00000013216,Usb1
ENSRNOG00000012828,Emg1
ENSRNOG00000050834,Fam102a
ENSRNOG00000018676,RGD1562987
ENSRNOG00000051431,Olr464
ENSRNOG00000061515,Fbxo45
ENSRNOG00000046920,NEWGENE_1359268
ENSRNOG00000015201,Tmem266
ENSRNOG00000018677,Akt2
ENSRNOG00000048948,AABR07067082.1
ENSRNOG00000028348,Lhx8
ENSRNOG00000047511,Olr1381
ENSRNOG00000002843,Cxcl6
ENSRNOG00000045719,Olr401
ENSRNOG00000005087,Cebpz
ENSRNOG00000001072,Cers4
ENSRNOG00000047702,Olr1683
ENSRNOG00000014867,Synpo2
ENSRNOG00000055981,AABR07001516.1
ENSRNOG00000043341,Zfp51
